id,name,artist,happiness,danceability,acousticness,mode,energy,tempo,loudness
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,24,35,0,major,91,148,-5 dB
55q3Ro66yXWi9rsEddeEN4,Pyramid Song,Radiohead,7,12,79,minor,34,73,-8 dB
2EoOZnxNgtmZaD8uUmz2nD,Black Hole Sun,Soundgarden,15,35,0,major,83,105,-5 dB
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,The Clash,82,74,8,major,84,113,-6 dB
2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,The Beatles,19,53,3,minor,38,165,-12 dB
6QewNVIDKdSl8Y3ycuHIei,Even Flow,Pearl Jam,27,39,0,minor,94,105,-7 dB
6eN1f9KNmiWEhpE2RhQqB5,Paradise City,Guns N' Roses,39,27,2,major,98,100,-6 dB
73TxYZd0lBCVRrHawrAglA,Sweet Emotion,Aerosmith,49,38,0,major,76,99,-11 dB
451GvHwY99NKV4zdKPRWmv,Banana Pancakes,Jack Johnson,62,82,61,major,38,114,-8 dB
63xdwScd1Ai1GigAwQxE8y,Let's Stay Together,Al Green,51,76,58,minor,40,102,-11 dB
0tZ3mElWcr74OOhKEiNz1x,Bulls On Parade,Rage Against The Machine,57,41,1,major,92,166,-7 dB
05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,Katrina & The Waves,94,60,1,major,87,110,-12 dB
28cnXtME493VX9NOw9cIUh,Hurt,Johnny Cash,16,53,65,minor,39,90,-8 dB
2Mb3zpobD0CvJGWv6NpsPy,They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,67,76,14,major,68,102,-11 dB
7AgMX97ljLm9BzszyyXEYZ,Jazz (We've Got),A Tribe Called Quest,72,82,72,major,48,92,-16 dB
5Ru9OjtEw5htfnVKpYsIcv,UMI Says,Mos Def,57,72,31,major,67,121,-10 dB
